,Index,P_Total
2016-05-27,1040351076,1006611693.0
2016-05-31,1045566636,1007134789.0
2016-06-01,1034951855,1006291958.0
2016-06-02,1040145420,1018020138.0
2016-06-03,1046215112,1019217234.0
2016-06-06,1045810277,1031930485.0
2016-06-07,1061424844,1037456251.0
2016-06-08,1060032793,1039281381.0
2016-06-09,1066459632,1045278238.0
2016-06-10,1075314223,1055706218.0
2016-06-13,1071509603,1055109840.0
2016-06-14,1077233454,1056461547.0
2016-06-15,1075380742,1067352412.0
2016-06-16,1084012782,1070417195.0
2016-06-17,1090391502,1077754147.0
2016-06-20,1091396993,1080444294.0
2016-06-21,1099053785,1090792309.0
2016-06-22,1100976808,1094306899.0
2016-06-23,1115556926,1105677807.0
2016-06-24,1104989542,1098047879.0
2016-06-27,1111179624,1105256946.0
2016-06-28,1114713137,1109976457.0
2016-06-29,1125781410,1129397414.0
2016-06-30,1143059754,1146341951.0
2016-07-01,1150709092,1163853291.0
2016-07-05,1150250040,1146612977.0
2016-07-06,1151812756,1168793835.0
2016-07-07,1133477992,1184884952.0
2016-07-08,1144429714,1217086243.0
2016-07-11,1143505417,1209436339.0
2016-07-12,1139977098,1236181244.0
2016-07-13,1148573815,1240954473.0
2016-07-14,1150380043,1251849349.0
2016-07-15,1152235856,1252844509.0
2016-07-18,1152151759,1239230991.0
2016-07-19,1147980359,1236030292.0
2016-07-20,1147046332,1238963898.0
2016-07-21,1142019544,1246483084.0
2016-07-22,1157166937,1263617219.0
2016-07-25,1152229472,1253157261.0
2016-07-26,1135087836,1249880956.0
2016-07-27,1142365622,1253365869.0
2016-07-28,1134794567,1251517972.0
2016-07-29,1149834665,1267508618.0
2016-08-01,1138796919,1285068173.0
2016-08-02,1132574623,1256827792.0
2016-08-03,1131628277,1259066342.0
2016-08-04,1130820142,1239873914.0
2016-08-05,1129023123,1247214939.0
2016-08-08,1126910706,1267466044.0
2016-08-09,1129450140,1269491155.0
2016-08-10,1132479909,1272022543.0
2016-08-11,1135336087,1269238016.0
2016-08-12,1131141629,1258859325.0
2016-08-15,1127490334,1248268504.0
2016-08-16,1104518019,1235153618.0
2016-08-17,1106145724,1233440377.0
2016-08-18,1097404184,1226477041.0
2016-08-19,1088054707,1216120638.0
2016-08-22,1087768616,1215127492.0
2016-08-23,1088294674,1215928495.0
2016-08-24,1087970001,1217006405.0
2016-08-25,1092385059,1220995308.0
2016-08-26,1080662517,1215391378.0
2016-08-29,1089033517,1222872381.0
2016-08-30,1085573582,1221391021.0
2016-08-31,1085286644,1226535318.0
2016-09-01,1088182110,1228703765.0
2016-09-02,1091482976,1228585286.0
2016-09-06,1101342571,1233717406.0
2016-09-07,1104014364,1236385214.0
2016-09-08,1101975223,1243042571.0
2016-09-09,1064304349,1227868206.0
2016-09-12,1085597964,1244414216.0
2016-09-13,1064181363,1218419777.0
2016-09-14,1062971797,1219739791.0
2016-09-15,1074494708,1231744633.0
2016-09-16,1069888535,1220316326.0
2016-09-19,1062734082,1232297160.0
2016-09-20,1060605300,1233461308.0
2016-09-21,1074141172,1244235617.0
2016-09-22,1086176880,1257096695.0
2016-09-23,1090131818,1260259128.0
2016-09-26,1084223120,1255213080.0
2016-09-27,1091428397,1273396893.0
2016-09-28,1073919965,1256475094.0
2016-09-29,1071603376,1257849188.0
2016-09-30,1068397588,1252111220.0
2016-10-03,1069382849,1256641158.0
2016-10-04,1051668393,1233093941.0
2016-10-05,1039454065,1227846531.0
2016-10-06,1038581874,1225600588.0
2016-10-07,1034464193,1248953296.0
2016-10-10,1038708129,1253938713.0
2016-10-11,1036504011,1248887048.0
2016-10-12,1042371552,1256593845.0
2016-10-13,1042369436,1257100553.0
2016-10-14,1041010167,1254020220.0
2016-10-17,1042830266,1254270116.0
2016-10-18,1044785521,1252504250.0
2016-10-19,1046899129,1242684866.0
2016-10-20,1026115660,1222094789.0
2016-10-21,1002659441,1169231889.0
2016-10-24,994911940,1162743393.0
2016-10-25,989381813,1157937832.0
2016-10-26,983682966,1163371765.0
2016-10-27,1000492754,1166003605.0
2016-10-28,997962850,1166010090.0
2016-10-31,997673731,1173194108.0
2016-11-01,987043351,1165923682.0
2016-11-02,974545286,1158518755.0
